origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
BTR|OO|873|15.3906|11.1432|0.0275|13.1792|2.2114|5
BTR|UA|4|24.0|24.0|0.0|13.1792|10.8208|6
BTV|F9|17|0.4118|-6.8824|0.0|9.3183|-8.9065|1
BTV|YX|2467|2.7799|-5.638|0.0211|9.3183|-6.5384|2
BTV|B6|8|6.625|1.375|0.0|9.3183|-2.6933|3
BTV|UA|1630|7.3982|5.7663|0.0178|9.3183|-1.9201|4
BTV|DL|708|8.0014|-0.0607|0.0169|9.3183|-1.3169|5
BTV|MQ|521|8.9674|10.1382|0.0192|9.3183|-0.3509|6
BTV|9E|2694|9.8916|2.0442|0.0308|9.3183|0.5733|7
BTV|OO|356|11.264|6.0787|0.0|9.3183|1.9457|8
BTV|OH|2651|13.2765|8.3146|0.017|9.3183|3.9582|9
BTV|AA|1047|16.767|11.4938|0.0143|9.3183|7.4487|10
BTV|G4|2|19.0|7.5|0.5|9.3183|9.6817|11
BUF|YX|4166|5.2902|0.6699|0.0314|10.5179|-5.2277|1
BUF|MQ|733|7.2797|3.4802|0.0082|10.5179|-3.2382|2
BUF|9E|2895|8.619|0.5136|0.0263|10.5179|-1.8989|3
BUF|WN|7950|9.478|2.045|0.0125|10.5179|-1.0399|4
BUF|DL|3178|9.8839|2.0085|0.0098|10.5179|-0.634|5
BUF|B6|5146|9.926|5.3599|0.0179|10.5179|-0.5919|6
BUF|UA|1489|10.634|8.908|0.0201|10.5179|0.1161|7
BUF|OO|1224|15.2108|8.7108|0.0229|10.5179|4.6929|8
BUF|AA|3248|15.2802|12.456|0.0105|10.5179|4.7623|9
BUF|F9|1740|16.8293|10.9391|0.042|10.5179|6.3114|10
BUF|OH|1353|18.3607|17.4841|0.0251|10.5179|7.8428|11
BUR|MQ|68|3.2941|-5.6029|0.0|9.267|-5.9729|1
BUR|AS|3331|3.852|2.7397|0.018|9.267|-5.415|2
BUR|F9|102|7.1078|11.2157|0.0|9.267|-2.1592|3
BUR|WN|27765|7.5653|0.4719|0.0088|9.267|-1.7017|4
BUR|OO|6181|12.0579|9.9977|0.0066|9.267|2.7909|5
BUR|UA|2436|12.8662|9.5944|0.0156|9.267|3.5992|6
BUR|AA|1868|13.2666|8.6536|0.0118|9.267|3.9996|7
BUR|NK|2916|13.4208|10.5408|0.0171|9.267|4.1538|8
BUR|DL|662|19.9698|13.6495|0.006|9.267|10.7028|9
BUR|B6|439|39.3918|33.4601|0.0205|9.267|30.1248|10
BWI|OO|13|-5.4615|-12.0|0.0|15.126|-20.5875|1
BWI|MQ|835|3.2527|-3.8862|0.0108|15.126|-11.8733|2
BWI|OH|42|5.8095|5.4048|0.0|15.126|-9.3165|3
BWI|UA|5442|6.2304|0.1286|0.018|15.126|-8.8956|4
BWI|YX|1386|7.0642|1.8615|0.0123|15.126|-8.0618|5
BWI|B6|359|7.1811|3.7159|0.0195|15.126|-7.9449|6
BWI|DL|7823|9.3128|1.8199|0.0045|15.126|-5.8132|7
BWI|AA|5611|14.4855|7.5452|0.0162|15.126|-0.6405|8
BWI|AS|899|15.4816|10.4805|0.0267|15.126|0.3556|9
BWI|NK|10169|15.6178|8.0377|0.0157|15.126|0.4918|10
BWI|WN|109253|15.7438|8.3424|0.0065|15.126|0.6178|11
BWI|9E|722|16.8213|8.8199|0.0568|15.126|1.6953|12
BWI|F9|4370|25.3416|22.4185|0.0355|15.126|10.2156|13
BWI|G4|220|30.5455|25.1455|0.0227|15.126|15.4195|14
BZN|MQ|104|4.2115|-1.9519|0.0|10.3136|-6.1021|1
BZN|AS|960|5.7948|6.9792|0.0125|10.3136|-4.5188|2
BZN|OO|3037|6.1156|2.0912|0.0056|10.3136|-4.198|3
BZN|DL|2674|7.003|1.8235|0.0034|10.3136|-3.3106|4
BZN|WN|2994|8.341|2.0875|0.0033|10.3136|-1.9726|5
BZN|UA|3349|12.066|6.8337|0.0143|10.3136|1.7524|6
BZN|G4|550|13.0309|7.5364|0.02|10.3136|2.7173|7
BZN|AA|1343|25.4274|22.6969|0.003|10.3136|15.1138|8
BZN|B6|205|33.8195|30.2049|0.0146|10.3136|23.5059|9
CAE|DL|2310|4.316|-3.8385|0.0035|8.9875|-4.6715|1
