origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ANC|4|high|63|114.65|105.98
ANC|4|low|1092|-6.52|-11.99
ANC|4|medium|148|32.71|25.11
ANC|4|unknown|13||
ANC|5|high|54|144.11|133.57
ANC|5|low|1466|-5.74|-11.59
ANC|5|medium|189|32.68|22.8
ANC|5|unknown|8||
ANC|6|high|72|152.69|147.54
ANC|6|low|1789|-5.17|-7.68
ANC|6|medium|239|29.98|25.93
ANC|6|unknown|14||
ANC|7|high|110|161.44|156.96
ANC|7|low|1759|-3.2|-6.41
ANC|7|medium|379|30.95|26.4
ANC|7|unknown|36||
ANC|8|high|87|184.6|175.88
ANC|8|low|1787|-3.41|-8.33
ANC|8|medium|334|29.18|23.11
ANC|8|unknown|21||
ANC|9|high|45|149.91|139.56
ANC|9|low|1455|-4.69|-9.33
ANC|9|medium|159|28.19|20.49
ANC|9|unknown|3||
ANC|10|high|57|157.98|160.49
ANC|10|low|1151|-5.5|-9.43
ANC|10|medium|106|27.79|28.54
ANC|10|unknown|11||
ANC|11|high|26|97.35|89.85
ANC|11|low|1024|-5.48|-9.74
ANC|11|medium|101|31.77|24.58
ANC|11|unknown|10||
ANC|12|high|43|167.12|159.83
ANC|12|low|986|-4.26|-9.36
ANC|12|medium|127|28.39|22.78
ANC|12|unknown|5||
APN|1|high|8|178.25|165.38
APN|1|low|27|-7.81|-12.33
APN|1|medium|3|45.0|37.0
APN|1|unknown|8||
APN|2|high|7|113.57|104.29
APN|2|low|42|-10.4|-22.71
APN|2|medium|1|40.0|56.0
APN|3|high|3|345.33|328.0
APN|3|low|50|-8.28|-17.06
APN|3|medium|1|19.0|1.0
APN|4|high|5|210.0|205.2
APN|4|low|44|-8.73|-15.39
APN|4|medium|1|38.0|42.0
APN|4|unknown|1||
APN|5|high|5|154.4|153.8
APN|5|low|43|-8.35|-12.4
APN|5|medium|5|30.8|25.8
APN|6|high|9|245.89|238.89
APN|6|low|39|-7.28|-10.36
APN|6|medium|2|42.5|34.5
APN|6|unknown|1||
APN|7|high|6|145.67|140.0
APN|7|low|40|-5.15|-9.88
APN|7|medium|4|47.0|40.5
APN|7|unknown|2||
APN|8|high|9|139.11|135.22
