origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
AMA|10|low|43|-4.65|-11.16|late_aircraft|carrier|nas
AMA|10|medium|4|40.75|36.25|late_aircraft|carrier|nas
AMA|11|high|3|237.33|241.33|carrier|weather|nas
AMA|11|low|42|-4.55|-11.36|carrier|weather|nas
AMA|11|medium|4|33.25|31.75|carrier|weather|nas
AMA|12|high|3|110.0|101.67|late_aircraft|carrier|nas
AMA|12|low|25|-4.92|-11.88|late_aircraft|carrier|nas
AMA|12|medium|3|39.33|39.33|late_aircraft|carrier|nas
ANC|1|high|6|122.5|118.83|carrier|late_aircraft|weather
ANC|1|low|80|-4.33|-7.46|carrier|late_aircraft|weather
ANC|1|medium|10|36.6|32.7|carrier|late_aircraft|weather
ANC|2|high|6|69.83|66.17|late_aircraft|weather|carrier
ANC|2|low|99|-6.29|-8.59|late_aircraft|weather|carrier
ANC|2|medium|9|31.67|28.11|late_aircraft|weather|carrier
ANC|3|high|5|136.6|115.2|weather|carrier|late_aircraft
ANC|3|low|113|-4.89|-8.86|weather|carrier|late_aircraft
ANC|3|medium|11|27.45|22.91|weather|carrier|late_aircraft
ANC|4|high|9|140.78|137.89|carrier|weather|late_aircraft
ANC|4|low|110|-6.28|-12.12|carrier|weather|late_aircraft
ANC|4|medium|23|28.17|19.83|carrier|weather|late_aircraft
ANC|5|high|3|372.0|354.67|carrier|late_aircraft|nas
ANC|5|low|136|-5.08|-12.5|carrier|late_aircraft|nas
ANC|5|medium|15|30.2|25.33|carrier|late_aircraft|nas
ANC|6|high|8|231.88|234.75|late_aircraft|carrier|nas
