origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ACV|10|low|147|-5.35|-7.61|weather|late_aircraft|carrier
ACV|10|medium|11|32.91|30.55|weather|late_aircraft|carrier
ACV|11|high|18|105.06|107.11|weather|late_aircraft|carrier
ACV|11|low|135|-5.25|-6.07|weather|late_aircraft|carrier
ACV|11|medium|16|32.69|29.88|weather|late_aircraft|carrier
ACV|12|high|7|169.57|164.29|weather|carrier|nas
ACV|12|low|137|-5.77|-6.78|weather|carrier|nas
ACV|12|medium|11|32.18|39.91|weather|carrier|nas
ACY|1|high|9|138.78|134.56|carrier|late_aircraft|nas
ACY|1|low|224|-5.6|-4.83|carrier|late_aircraft|nas
ACY|1|medium|24|29.38|30.88|carrier|late_aircraft|nas
ACY|2|high|16|136.0|134.88|carrier|late_aircraft|weather
ACY|2|low|228|-5.04|-11.67|carrier|late_aircraft|weather
ACY|2|medium|37|34.32|25.43|carrier|late_aircraft|weather
ACY|3|high|34|156.47|157.5|late_aircraft|carrier|nas
ACY|3|low|213|-4.62|-9.31|late_aircraft|carrier|nas
ACY|3|medium|71|33.18|31.79|late_aircraft|carrier|nas
ACY|4|high|15|132.6|130.53|nas|late_aircraft|carrier
ACY|4|low|257|-6.61|-16.86|nas|late_aircraft|carrier
ACY|4|medium|25|34.48|28.96|nas|late_aircraft|carrier
ACY|5|high|13|135.54|134.46|nas|late_aircraft|carrier
ACY|5|low|234|-4.97|-11.5|nas|late_aircraft|carrier
ACY|5|medium|35|30.91|24.94|nas|late_aircraft|carrier
ACY|6|high|29|135.41|129.86|carrier|late_aircraft|weather
ACY|6|low|183|-4.52|-14.82|carrier|late_aircraft|weather
ACY|6|medium|28|31.46|23.14|carrier|late_aircraft|weather
ACY|7|high|17|181.18|171.47|late_aircraft|weather|carrier
ACY|7|low|168|-3.44|-12.92|late_aircraft|weather|carrier
ACY|7|medium|37|35.84|27.49|late_aircraft|weather|carrier
ACY|8|high|27|137.96|136.0|weather|late_aircraft|carrier
